MONTH,NUM_SUNSPOTS
1749.042,96.7
1749.123,104.3
1749.204,116.7
1749.288,92.8
1749.371,141.7
1749.455,139.2
1749.538,158
1749.623,110.5
1749.707,126.5
1749.79,125.8
1749.874,264.3
1749.958,142
1750.042,122.2
1750.123,126.5
1750.204,148.7
1750.288,147.2
1750.371,150
1750.455,166.7
1750.538,142.3
1750.623,171.7
1750.707,152
1750.79,109.5
1750.874,105.5
1750.958,125.7
1751.042,116.7
1751.123,72.5
1751.204,75.5
1751.288,94
1751.371,101.2
1751.455,84.5
1751.538,110.5
1751.623,99.7
1751.707,39.2
1751.79,38.7
1751.874,47.5
1751.958,73.3
1752.042,58.3
1752.124,83.3
1752.206,118.3
1752.29,98.8
1752.373,99.5
1752.456,66
1752.54,130.7
1752.624,48.8
1752.708,45.2
1752.791,77.7
1752.874,62.7
1752.958,66.7
1753.042,73.3
1753.123,53.3
1753.204,76.2
1753.288,63.3
1753.371,60
1753.455,52.8
1753.538,36.7
1753.623,65
1753.707,46.7
1753.79,41.7
1753.874,33.3
1753.958,11.2
1754.042,0
1754.123,5
1754.204,2.8
1754.288,22.8
1754.371,34.5
1754.455,44.5
1754.538,31.3
1754.623,20.5
1754.707,13.7
1754.79,40.2
1754.874,22
1754.958,7
1755.042,17
1755.123,18.7
1755.204,11.3
1755.288,10.8
1755.371,0
1755.455,0
1755.538,14.3
1755.623,5.3
1755.707,29.7
1755.79,39.5
1755.874,11.3
1755.958,33.3
1756.042,20.8
1756.124,11.8
1756.206,9
1756.29,15.7
1756.373,20.8
1756.456,21.5
1756.54,6
1756.624,10.7
1756.708,19.7
1756.791,23.8
1756.874,28.3
1756.958,15.7
1757.042,23.5
1757.123,35.3
1757.204,43.7
1757.288,50
1757.371,63.5
1757.455,21.3
1757.538,41.7
1757.623,85.5
1757.707,66.2
1757.79,54.2
1757.874,107.8
1757.958,55.8
1758.042,62.7
1758.123,86.7
1758.204,81.7
1758.288,120.5
1758.371,77.3
1758.455,75
1758.538,73.3
1758.623,64.5
1758.707,104.2
1758.79,62.8
1758.874,71.7
1758.958,71.7
1759.042,80.5
1759.123,73.3
1759.204,78
1759.288,78.3
1759.371,81.7
1759.455,83.3
1759.538,85
1759.623,118.8
1759.707,128.7
1759.79,99.5
1759.874,77.2
1759.958,95
1760.042,112.2
1760.124,99.2
1760.206,124.5
1760.29,97.2
1760.373,120
1760.456,80.5
1760.54,110
1760.624,126
1760.708,102.2
1760.791,84.3
1760.874,99.5
1760.958,101.7
1761.042,116.7
1761.123,151.7
1761.204,134.5
1761.288,119.5
1761.371,178.7
1761.455,165.5
1761.538,156.8
1761.623,151.8
1761.707,167.8
1761.79,147.8
1761.874,149.5
1761.958,76.7
1762.042,73
1762.123,121.3
1762.204,76.2
1762.288,100.3
1762.371,66.5
1762.455,128.5
1762.538,56.3
1762.623,112.8
1762.707,114.2
1762.79,115.5
1762.874,129.7
1762.958,128.7
1763.042,94.2
1763.123,53.2
1763.204,57
1763.288,54.8
1763.371,54.5
1763.455,59.7
1763.538,90.3
1763.623,44.2
1763.707,113.5
1763.79,77.2
1763.874,101.5
1763.958,102.3
1764.042,99.5
1764.124,99.5
1764.206,67
1764.29,57.3
1764.373,73.8
1764.456,50
1764.54,50
1764.624,50
1764.708,47
1764.791,46.7
1764.874,43.3
1764.958,42.8
1765.042,40
1765.123,43.3
1765.204,41.7
1765.288,36.7
1765.371,33.7
1765.455,33.3
1765.538,45
1765.623,49.5
1765.707,26.7
1765.79,23.3
1765.874,23.3
1765.958,21.7
1766.042,20
1766.123,18.3
1766.204,61
1766.288,10
1766.371,44.7
1766.455,5
1766.538,5.5
1766.623,6.7
1766.707,7.2
1766.79,8.3
1766.874,9.5
1766.958,32
1767.042,45.7
1767.123,50
1767.204,71.7
1767.288,54.8
1767.371,49.7
1767.455,55.5
1767.538,36.5
1767.623,68
1767.707,71.2
1767.79,73.5
1767.874,91.2
1767.958,88.8
1768.042,89.2
1768.124,110.2
1768.206,77.2
1768.29,71.2
1768.373,129.5
1768.456,129
1768.54,87.7
1768.624,111.3
1768.708,124.7
1768.791,129.7
1768.874,151
1768.958,186.3
1769.042,123.2
1769.123,107
1769.204,107.2
1769.288,161.2
1769.371,122.7
1769.455,157.3
1769.538,197.7
1769.623,200.5
1769.707,248
1769.79,263.7
1769.874,246.8
1769.958,186.7
1770.042,173.3
1770.123,237.5
1770.204,133.5
1770.288,85
1770.371,116.8
1770.455,138.8
1770.538,183
1770.623,210.5
1770.707,174
1770.79,172.7
1770.874,220.3
1770.958,170.5
1771.042,60
1771.123,77
1771.204,77.8
1771.288,108.2
1771.371,254.5
1771.455,199.2
1771.538,112.8
1771.623,97.5
1771.707,169
1771.79,150
1771.874,166.2
1771.958,159.5
1772.042,168.2
1772.124,151.3
1772.206,51.8
1772.29,153.7
1772.373,63.3
1772.456,95
1772.54,128.8
1772.624,93.7
1772.708,84.2
1772.791,131
1772.874,102.2
1772.958,106.7
1773.042,91
1773.123,48.3
1773.204,85.3
1773.288,54.8
1773.371,68.5
1773.455,47.3
1773.538,46.2
1773.623,21.2
1773.707,48.8
1773.79,43.8
1773.874,68.2
1773.958,72
1774.042,78
1774.123,109
1774.204,92.8
1774.288,73
1774.371,85.5
1774.455,47.5
1774.538,29.2
1774.623,11
1774.707,13.2
1774.79,23.3
1774.874,29.5
1774.958,20.3
1775.042,7.3
1775.123,0
1775.204,19.3
1775.288,18.7
1775.371,6.5
1775.455,20.5
1775.538,1.7
1775.623,13.2
1775.707,5.3
1775.79,9.3
1775.874,25.2
1775.958,13.2
1776.042,36.2
1776.124,19.3
1776.206,10.5
1776.29,36.3
1776.373,18.7
1776.456,31.7
1776.54,1.7
1776.624,40.3
1776.708,26.7
1776.791,50
1776.874,58.3
1776.958,66.7
1777.042,75
1777.123,60.8
1777.204,65
1777.288,159.2
1777.371,133.8
1777.455,134.5
1777.538,158.3
1777.623,186.7
1777.707,193.7
1777.79,177.5
1777.874,243.3
1777.958,262.2
1778.042,295.5
1778.123,182.2
1778.204,223.3
1778.288,241.7
1778.371,398.2
1778.455,286
1778.538,255
1778.623,233.3
1778.707,286.2
1778.79,260.5
1778.874,250.5
1778.958,175
1779.042,191.2
1779.123,276.2
1779.204,196.7
1779.288,241.7
1779.371,233.3
1779.455,189.5
1779.538,238.3
1779.623,186.7
1779.707,185
1779.79,206.7
1779.874,190
1779.958,183.3
1780.042,116.7
1780.124,163.3
1780.206,163.3
1780.29,158.3
1780.373,178.7
1780.456,146.7
1780.54,143.3
1780.624,143.3
1780.708,156.2
1780.791,128.3
1780.874,100
1780.958,97.8
1781.042,164.5
1781.123,124.5
1781.204,88.3
1781.288,113.8
1781.371,174.5
1781.455,162.8
1781.538,122.5
1781.623,110
1781.707,85
1781.79,45.5
1781.874,111.7
1781.958,58.7
1782.042,90
1782.123,62.5
1782.204,61.7
1782.288,68.3
1782.371,90.5
1782.455,63.3
1782.538,61.7
1782.623,73.3
1782.707,56.7
1782.79,38.7
1782.874,52.5
1782.958,50
1783.042,46.7
